Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9751243781094527,0.9792746113989638,0.9642857142857143,0.9717223650385605
Deep Neural Network,0.968340117593849,0.9690721649484536,0.9591836734693877,0.9641025641025641
Gradient Boosting,0.95838986883763,0.9596273291925466,0.9459183673469388,0.9527235354573484
SVM,0.9561284486657621,0.9632738719832109,0.936734693877551,0.9498189342990171
Logistic Regression,0.9280868385345997,0.9343915343915344,0.9010204081632653,0.9174025974025974
